posted,job title,company working,location working,salary,link
24h,Fundraising and Development Team Lead (Female),The Nelson Trust4.6,"Gloucester, England",£35K,"https://www.glassdoor.co.uk/job-listing/fundraising-and-development-team-lead-female-the-nelson-trust-JV_IC3379755_KO0,44_KE45,61.htm?jl=1009025618251"
24h,Restaurant and Bar General Manager,Undisclosed,"Truro, England",£29K - £32K,"https://www.glassdoor.co.uk/job-listing/restaurant-and-bar-general-manager-undisclosed-JV_IC3377533_KO0,34_KE35,46.htm?jl=1009026298076"
24h,Bar and Floor Manager,Undisclosed,"Truro, England",£25K - £27K,"https://www.glassdoor.co.uk/job-listing/bar-and-floor-manager-undisclosed-JV_IC3377533_KO0,21_KE22,33.htm?jl=1009026262954"
24h,Bodyshop Administrator,Archbold Accident repair centre,"Leeds, England",£10.50 - £13.00,"https://www.glassdoor.co.uk/job-listing/bodyshop-administrator-archbold-accident-repair-centre-JV_IC3414359_KO0,22_KE23,54.htm?jl=1009026141359"
24h,Static MOT Tester,Big Motoring World2.7,"Peterborough, England",£24K - £35K,"https://www.glassdoor.co.uk/job-listing/static-mot-tester-big-motoring-world-JV_IC3254278_KO0,17_KE18,36.htm?jl=1009025459763"
24h,Central London - ECC Veterinary Surgeon,Dynamic Recruits5.0,"London, England",£93K,"https://www.glassdoor.co.uk/job-listing/central-london-ecc-veterinary-surgeon-dynamic-recruits-JV_IC2671300_KO0,37_KE38,54.htm?jl=1009026147284"
24h,ECC Veterinary Surgeon - Independent - 24 hour hospital - Central London,Confidential5.0,"London, England",£88K,"https://www.glassdoor.co.uk/job-listing/ecc-veterinary-surgeon-independent-24-hour-hospital-central-london-confidential-JV_IC2671300_KO0,66_KE67,79.htm?jl=1009026135256"
24h,Associate Dentist,Stratford House Dental Practice and Neath Hill Dental Practice,"Milton Keynes, England",£85K - £100K,"https://www.glassdoor.co.uk/job-listing/associate-dentist-stratford-house-dental-practice-and-neath-hill-dental-practice-JV_IC3253143_KO0,17_KE18,80.htm?jl=1009025780736"
24h,Operations Team Lead,Market Makers AI Limited,"London, England",£70K,"https://www.glassdoor.co.uk/job-listing/operations-team-lead-market-makers-ai-limited-JV_IC2671300_KO0,20_KE21,45.htm?jl=1009026080277"
24h,Registered Nurse Days/Nights,Cathena Healthcare Ltd1.0,"Saxmundham, England",£18.50 - £19.00,"https://www.glassdoor.co.uk/job-listing/registered-nurse-days-nights-cathena-healthcare-ltd-JV_IC3318931_KO0,28_KE29,51.htm?jl=1009025617878"
